,4212
20220812,0.0
20220817,-50.99586486816406
20220820,-23.519827524820965
20220822,3.956209818522133
20220825,31.432247161865234
20220830,-9.807290395100914
20220831,-51.04682795206706
20220901,-92.2863655090332
20220902,-22.198455810546875
20220903,47.88945388793945
20220907,1.451080322265625
20220909,19.443967819213867
20220910,37.43685531616211
20220913,31.994054794311523
20220918,26.551254272460938
20220919,21.10845375061035
20220920,15.665653228759766
20220921,21.10820770263672
20220925,-37.48442268371582
20220927,-96.07705307006836
20220929,-41.86564254760742
20221001,12.345767974853516
20221002,66.55717849731445
20221003,69.62966537475586
